mese,denominazione_regione,codice_regione,lat,long,notifiche_inviate,utenti_positivi
2020-12-31 00:01:00,Lombardia,3,45.56078509583333,9.583767741666668,815,310
2020-12-31 00:01:00,Piemonte,1,45.1920620725,8.212714241625001,194,114
2020-12-31 00:01:00,Estero,-1,-1.0,-1.0,-1,-1
2020-12-31 00:01:00,Valle d'Aosta,2,45.73750286,7.320149366,25,15
2020-12-31 00:01:00,Toscana,9,43.627712522,10.895122839999999,222,126
2020-12-31 00:01:00,Sicilia,19,37.57610475888889,14.274259175555555,22,9
2020-12-31 00:01:00,P.A. Bolzano,4,46.49933453,11.35662422,12,7
2020-12-31 00:01:00,Umbria,10,42.833735495,12.51746724,9,-1
2020-12-31 00:01:00,Friuli Venezia Giulia,6,45.9019810475,13.321282225000001,86,65
2020-12-31 00:01:00,Puglia,16,40.88008174833333,17.009317835,67,11
2020-12-31 00:01:00,Lazio,12,41.964455604,12.74106344,545,265
2020-12-31 00:01:00,Marche,11,43.368189516,13.436142726,45,23
2020-12-31 00:01:00,Basilicata,17,40.653491145000004,16.20153638,11,15
2020-12-31 00:01:00,Calabria,18,38.812980146,16.344182868,10,-1
2020-12-31 00:01:00,P.A. Trento,4,46.06893511,11.12123097,20,21
2020-12-31 00:01:00,Molise,14,41.5728779,14.44245729,-1,-1
2021-01-31 00:01:00,Molise,14,41.5728779,14.44245729,9,-1
2021-01-31 00:01:00,Sardegna,20,39.86708044,8.8236011314,8,8
2021-01-31 00:01:00,Sicilia,19,37.57610475888889,14.274259175555555,-1,6
2021-01-31 00:01:00,P.A. Trento,4,46.06893511,11.12123097,21,31
2021-01-31 00:01:00,Lombardia,3,45.56078509583333,9.583767741666668,304,378
2021-01-31 00:01:00,Umbria,10,42.833735495,12.51746724,13,14
2021-01-31 00:01:00,Valle d'Aosta,2,45.73750286,7.320149366,9,20
2021-01-31 00:01:00,P.A. Bolzano,4,46.49933453,11.35662422,23,9
2021-01-31 00:01:00,Toscana,9,43.627712522,10.895122839999999,129,134
2021-01-31 00:01:00,Piemonte,1,45.1920620725,8.212714241625001,47,39
2021-01-31 00:01:00,Puglia,16,40.88008174833333,17.009317835,26,23
2021-01-31 00:01:00,Marche,11,43.368189516,13.436142726,42,71
2021-01-31 00:01:00,Campania,15,40.92723816000001,14.583892388,41,81
2021-01-31 00:01:00,Calabria,18,38.812980146,16.344182868,-1,-1
2021-01-31 00:01:00,Lazio,12,41.964455604,12.74106344,385,533
2021-01-31 00:01:00,Emilia-Romagna,8,44.580836732222224,11.260342458444445,490,586
2021-01-31 00:01:00,Friuli Venezia Giulia,6,45.9019810475,13.321282225000001,24,107
2021-01-31 00:01:00,Abruzzo,13,42.4564388275,13.871007975,104,173
2021-01-31 00:01:00,Liguria,7,44.177938535,8.817461962999998,38,65
2021-01-31 00:01:00,Veneto,5,45.529245151428576,11.858031792857144,19,36
2021-01-31 00:01:00,Estero,-1,-1.0,-1.0,-1,-1
2021-01-31 00:01:00,Basilicata,17,40.653491145000004,16.20153638,30,20
2021-02-28 00:01:00,Estero,-1,-1.0,-1.0,-1,-1
2021-02-28 00:01:00,Emilia-Romagna,8,44.580836732222224,11.260342458444445,1576,682
2021-02-28 00:01:00,Abruzzo,13,42.4564388275,13.871007975,248,176
2021-02-28 00:01:00,Toscana,9,43.627712522,10.895122839999999,327,194
2021-02-28 00:01:00,Puglia,16,40.88008174833333,17.009317835,113,69
2021-02-28 00:01:00,Marche,11,43.368189515999994,13.436142726,266,164
2021-02-28 00:01:00,Piemonte,1,45.1920620725,8.212714241625001,323,168
2021-02-28 00:01:00,Umbria,10,42.833735495,12.51746724,49,31
2021-02-28 00:01:00,Veneto,5,45.529245151428576,11.858031792857144,65,7
2021-02-28 00:01:00,Lazio,12,41.964455604,12.74106344,959,561
2021-02-28 00:01:00,Liguria,7,44.177938535,8.817461963,91,53
2021-02-28 00:01:00,P.A. Trento,4,46.06893511,11.12123097,14,18
2021-02-28 00:01:00,Calabria,18,38.81298014600001,16.344182868,8,-1
2021-02-28 00:01:00,Sicilia,19,37.57610475888889,14.274259175555557,36,36
2021-02-28 00:01:00,Basilicata,17,40.65349114500001,16.20153638,45,14
2021-02-28 00:01:00,Valle d'Aosta,2,45.73750286,7.320149366,6,7
2021-02-28 00:01:00,Campania,15,40.92723816,14.583892388,146,86
2021-02-28 00:01:00,Molise,14,41.5728779,14.442457290000002,6,-1
2021-02-28 00:01:00,Sardegna,20,39.86708044,8.8236011314,20,13
2021-02-28 00:01:00,P.A. Bolzano,4,46.49933453,11.35662422,8,-1
2021-02-28 00:01:00,Lombardia,3,45.56078509583333,9.583767741666668,929,466
2021-02-28 00:01:00,Friuli Venezia Giulia,6,45.9019810475,13.321282225000001,95,56
2021-03-31 00:01:00,Molise,14,41.5728779,14.44245729,-1,-1
2021-03-31 00:01:00,Friuli Venezia Giulia,6,45.9019810475,13.321282225000001,71,83
2021-03-31 00:01:00,Estero,-1,-1.0,-1.0,-1,-1
2021-03-31 00:01:00,Basilicata,17,40.653491145000004,16.20153638,27,19
2021-03-31 00:01:00,Veneto,5,45.529245151428576,11.858031792857144,144,94
2021-03-31 00:01:00,P.A. Trento,4,46.06893511,11.12123097,26,26
2021-03-31 00:01:00,P.A. Bolzano,4,46.49933453,11.35662422,-1,-1
2021-03-31 00:01:00,Calabria,18,38.812980146,16.344182868,10,-1
2021-03-31 00:01:00,Umbria,10,42.833735495,12.51746724,12,15
2021-03-31 00:01:00,Piemonte,1,45.1920620725,8.212714241625001,442,298
2021-03-31 00:01:00,Sicilia,19,37.57610475888889,14.274259175555555,64,66
2021-03-31 00:01:00,Lombardia,3,45.56078509583333,9.583767741666668,1014,535
2021-03-31 00:01:00,Sardegna,20,39.86708044,8.8236011314,38,22
2021-03-31 00:01:00,Valle d'Aosta,2,45.73750286,7.320149366,8,8
2021-03-31 00:01:00,Campania,15,40.92723816000001,14.583892388,107,98
2021-03-31 00:01:00,Lazio,12,41.964455604,12.74106344,243,195
2021-03-31 00:01:00,Marche,11,43.368189516,13.436142726,242,195
2021-03-31 00:01:00,Liguria,7,44.177938535,8.817461962999998,44,25
2021-03-31 00:01:00,Abruzzo,13,42.4564388275,13.871007975,95,82
2021-03-31 00:01:00,Emilia-Romagna,8,44.580836732222224,11.260342458444445,947,640
2021-03-31 00:01:00,Toscana,9,43.627712522,10.895122839999999,250,193
2021-03-31 00:01:00,Puglia,16,40.88008174833333,17.009317835,79,64
2021-04-30 00:01:00,Puglia,16,40.88008174833333,17.009317835,145,144
2021-04-30 00:01:00,P.A. Trento,4,46.06893511,11.12123097,13,18
2021-04-30 00:01:00,Estero,-1,-1.0,-1.0,-1,-1
2021-04-30 00:01:00,Calabria,18,38.812980146,16.344182868,8,-1
2021-04-30 00:01:00,Campania,15,40.92723816,14.583892388,130,183
2021-04-30 00:01:00,Veneto,5,45.529245151428576,11.858031792857144,115,134
2021-04-30 00:01:00,Sardegna,20,39.86708044,8.8236011314,49,66
2021-04-30 00:01:00,Toscana,9,43.627712522,10.895122839999999,277,238
2021-04-30 00:01:00,Sicilia,19,37.57610475888889,14.274259175555557,138,424
2021-04-30 00:01:00,Piemonte,1,45.1920620725,8.212714241625001,166,131
2021-04-30 00:01:00,Emilia-Romagna,8,44.580836732222224,11.260342458444445,537,377
2021-04-30 00:01:00,Basilicata,17,40.653491145000004,16.20153638,24,48
2021-04-30 00:01:00,Valle d'Aosta,2,45.73750286,7.320149366,19,13
2021-04-30 00:01:00,Marche,11,43.368189516,13.436142725999998,81,91
2021-04-30 00:01:00,Liguria,7,44.177938535,8.817461963,94,88
2021-04-30 00:01:00,Lazio,12,41.964455604,12.74106344,77,72
2021-04-30 00:01:00,Molise,14,41.5728779,14.44245729,9,6
2021-04-30 00:01:00,Lombardia,3,45.56078509583333,9.583767741666668,533,399
2021-04-30 00:01:00,Umbria,10,42.833735495,12.51746724,6,10
2021-04-30 00:01:00,Abruzzo,13,42.4564388275,13.871007975,63,85
2021-04-30 00:01:00,P.A. Bolzano,4,46.499334530000006,11.356624219999999,-1,-1
2021-04-30 00:01:00,Friuli Venezia Giulia,6,45.9019810475,13.321282225000001,37,50
2021-05-31 00:01:00,Piemonte,1,45.1920620725,8.212714241625001,29,21
2021-05-31 00:01:00,Lazio,12,41.964455604,12.74106344,79,69
2021-05-31 00:01:00,Friuli Venezia Giulia,6,45.9019810475,13.321282225000001,15,16
2021-05-31 00:01:00,Molise,14,41.5728779,14.44245729,-1,-1
2021-05-31 00:01:00,Toscana,9,43.627712522,10.895122839999999,156,100
2021-05-31 00:01:00,P.A. Bolzano,4,46.49933453,11.35662422,13,-1
2021-05-31 00:01:00,Veneto,5,45.529245151428576,11.858031792857144,22,29
2021-05-31 00:01:00,Liguria,7,44.177938535,8.817461962999998,31,26
2021-05-31 00:01:00,Marche,11,43.368189516,13.436142726,55,52
2021-05-31 00:01:00,Abruzzo,13,42.4564388275,13.871007975,30,34
2021-05-31 00:01:00,Campania,15,40.92723816000001,14.583892388,58,79
2021-05-31 00:01:00,Estero,-1,-1.0,-1.0,-1,-1
2021-05-31 00:01:00,Lombardia,3,45.56078509583333,9.583767741666668,396,168
2021-05-31 00:01:00,Calabria,18,38.812980146,16.344182868,-1,-1
2021-05-31 00:01:00,Basilicata,17,40.653491145000004,16.20153638,14,26
2021-05-31 00:01:00,Sardegna,20,39.86708044,8.8236011314,8,17
2021-05-31 00:01:00,Emilia-Romagna,8,44.580836732222224,11.260342458444445,239,142
2021-05-31 00:01:00,P.A. Trento,4,46.06893511,11.12123097,16,11
2021-05-31 00:01:00,Sicilia,19,37.57610475888889,14.274259175555555,61,230
2021-05-31 00:01:00,Umbria,10,42.833735495,12.51746724,-1,6
2021-05-31 00:01:00,Valle d'Aosta,2,45.73750286,7.320149366,9,-1
2021-05-31 00:01:00,Puglia,16,40.88008174833333,17.009317835,52,44
2021-06-30 00:01:00,Veneto,5,45.529245151428576,11.858031792857144,16,-1
2021-06-30 00:01:00,Marche,11,43.368189516,13.436142725999998,-1,13
2021-06-30 00:01:00,Valle d'Aosta,2,45.73750286,7.320149366,-1,-1
2021-06-30 00:01:00,Campania,15,40.92723816,14.583892388,17,12
2021-06-30 00:01:00,Calabria,18,38.812980146,16.344182868,-1,-1
2021-06-30 00:01:00,Liguria,7,44.177938535,8.817461963,7,-1
2021-06-30 00:01:00,Lombardia,3,45.56078509583333,9.583767741666668,132,39
2021-06-30 00:01:00,Sardegna,20,39.86708044,8.8236011314,9,-1
2021-06-30 00:01:00,Sicilia,19,37.57610475888889,14.274259175555557,-1,6
2021-06-30 00:01:00,Puglia,16,40.88008174833333,17.009317835,13,15
2021-06-30 00:01:00,P.A. Bolzano,4,46.499334530000006,11.356624219999999,8,-1
2021-06-30 00:01:00,Abruzzo,13,42.4564388275,13.871007975,21,11
