data,notifiche_inviate,utenti_positivi,notifiche_inviate_totali,utenti_positivi_totali
2021-11-24 00:00:00,283,149,121228,28940
2021-11-25 00:00:00,324,142,121552,29082
2021-11-26 00:00:00,351,173,121903,29255
2021-11-27 00:00:00,283,156,122186,29411
2021-11-28 00:00:00,206,127,122392,29538
2021-11-29 00:00:00,256,122,122648,29660
2021-11-30 00:00:00,240,116,122888,29776
2021-12-01 00:00:00,272,149,123160,29925
2021-12-02 00:00:00,365,197,123525,30122
2021-12-03 00:00:00,402,208,123927,30330
2021-12-04 00:00:00,313,223,124240,30553
2021-12-05 00:00:00,362,171,124602,30724
2021-12-06 00:00:00,276,169,124878,30893
2021-12-07 00:00:00,320,246,125198,31139
2021-12-08 00:00:00,353,228,125551,31367
2021-12-09 00:00:00,283,230,125834,31597
2021-12-10 00:00:00,342,263,126176,31860
2021-12-11 00:00:00,326,246,126502,32106
2021-12-12 00:00:00,280,231,126782,32337
2021-12-13 00:00:00,186,146,126968,32483
2021-12-14 00:00:00,315,275,127283,32758
2021-12-15 00:00:00,461,345,127744,33103
2021-12-16 00:00:00,418,280,128162,33383
2021-12-17 00:00:00,512,389,128674,33772
2021-12-18 00:00:00,588,379,129262,34151
2021-12-19 00:00:00,540,295,129802,34446
2021-12-20 00:00:00,484,324,130286,34770
2021-12-21 00:00:00,717,433,131003,35203
2021-12-22 00:00:00,831,483,131834,35686
2021-12-23 00:00:00,1175,664,133009,36350
2021-12-24 00:00:00,1294,725,134303,37075
2021-12-25 00:00:00,937,498,135240,37573
2021-12-26 00:00:00,782,485,136022,38058
2021-12-27 00:00:00,1034,902,137056,38960
2021-12-28 00:00:00,1468,1175,138524,40135
2021-12-29 00:00:00,1801,1526,140325,41661
2021-12-30 00:00:00,1851,1567,142176,43228
2021-12-31 00:00:00,1783,1652,143959,44880
2022-01-01 00:00:00,1365,1281,145324,46161
2022-01-02 00:00:00,1270,1086,146594,47247
2022-01-03 00:00:00,1303,1409,147897,48656
2022-01-04 00:00:00,2349,1714,150246,50370
2022-01-05 00:00:00,2685,1973,152931,52343
2022-01-06 00:00:00,2567,1702,155498,54045
2022-01-07 00:00:00,2541,1630,158039,55675
2022-01-08 00:00:00,2538,1773,160577,57448
2022-01-09 00:00:00,1861,1337,162438,58785
2022-01-10 00:00:00,2016,1277,164454,60062
2022-01-11 00:00:00,2479,1251,166933,61313
2022-01-12 00:00:00,2480,1291,169413,62604
2022-01-13 00:00:00,2122,1280,171535,63884
2022-01-14 00:00:00,1578,1099,173113,64983
2022-01-15 00:00:00,1418,1005,174531,65988
2022-01-16 00:00:00,875,675,175406,66663
2022-01-17 00:00:00,837,724,176243,67387
2022-01-18 00:00:00,950,709,177193,68096
2022-01-19 00:00:00,975,914,178168,69010
2022-01-20 00:00:00,876,786,179044,69796
2022-01-21 00:00:00,763,697,179807,70493
2022-01-22 00:00:00,763,732,180570,71225
2022-01-23 00:00:00,567,467,181137,71692
2022-01-24 00:00:00,552,470,181689,72162
2022-01-25 00:00:00,530,611,182219,72773
2022-01-26 00:00:00,437,570,182656,73343
2022-01-27 00:00:00,405,499,183061,73842
2022-01-28 00:00:00,397,524,183458,74366
2022-01-29 00:00:00,397,498,183855,74864
2022-01-30 00:00:00,269,323,184124,75187
2022-01-31 00:00:00,247,329,184371,75516
2022-02-01 00:00:00,307,376,184678,75892
2022-02-02 00:00:00,318,402,184996,76294
2022-02-03 00:00:00,281,360,185277,76654
2022-02-04 00:00:00,302,340,185579,76994
2022-02-05 00:00:00,276,290,185855,77284
2022-02-06 00:00:00,177,222,186032,77506
2022-02-07 00:00:00,175,253,186207,77759
2022-02-08 00:00:00,211,228,186418,77987
2022-02-09 00:00:00,182,224,186600,78211
2022-02-10 00:00:00,184,218,186784,78429
2022-02-11 00:00:00,178,209,186962,78638
